"iteration,date,executiontime"
681,2022-02-09-00:22:31,0.79797
682,2022-02-09-00:22:32,0.70671
683,2022-02-09-00:22:33,0.70111
684,2022-02-09-00:22:33,0.72283
685,2022-02-09-00:22:34,0.70237
686,2022-02-09-00:22:35,0.82644
687,2022-02-09-00:22:36,0.83608
688,2022-02-09-00:22:36,0.71632
689,2022-02-09-00:22:37,0.82480
690,2022-02-09-00:22:38,0.64515
691,2022-02-09-00:22:39,0.77529
692,2022-02-09-00:22:40,0.83244
693,2022-02-09-00:22:40,0.74579
694,2022-02-09-00:22:41,1.14295
695,2022-02-09-00:22:42,0.91936
